Product name;Category;Price;Items in box;Features;Quantity;Taxes;Date added;Status;Language;Product code;Weight;Min quantity;List price;Shipping freight;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Description;Meta keywords;Meta description;Search words;Page title;Options;Secondary categories;SEO name;Short description;Localizations;Max quantity;Quantity step;List qty count;Out of stock actions;Product URL;Image URL;Detailed image URL;Box size;Store
"Марля медицинская (39,0-+ гр/м2)";"Медицинские расходные материалы///Марля, марлевые отрезы";"10.24";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba47";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"marlya-medicinskaya-39-0--gr-m2";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/marlya-medicinskaya-39-0--gr-m2.html";"";"";"length:0;width:0;height:0";"Simtech"
"Марля медицинская (0.9 м) 28 г/кв.м.";"Медицинские расходные материалы///Марля, марлевые отрезы";"7.30";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba48";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"marlya-medicinskaya-0.9-m-28-g-kv.m.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/marlya-medicinskaya-0.9-m-28-g-kv.m..html";"";"";"length:0;width:0;height:0";"Simtech"
"Марля медицинская (0.9 м) 32 г/кв.м.";"Медицинские расходные материалы///Марля, марлевые отрезы";"8.80";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba49";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"marlya-medicinskaya-0.9-m-32-g-kv.m.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/marlya-medicinskaya-0.9-m-32-g-kv.m..html";"";"";"length:0;width:0;height:0";"Simtech"
"Марля медицинская (0.9 м) 36 г/кв.м.";"Медицинские расходные материалы///Марля, марлевые отрезы";"9.37";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba50";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"marlya-medicinskaya-0.9-m-36-g-kv.m.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/marlya-medicinskaya-0.9-m-36-g-kv.m..html";"";"";"length:0;width:0;height:0";"Simtech"
"Салфетки мед. стер. марл. 16*14 №10 NF";"Медицинские расходные материалы///Марля, марлевые отрезы";"4.55";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba51";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfetki-med.-ster.-marl.-1614-10-nf";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfetki-med.-ster.-marl.-1614-10-nf.html";"";"";"length:0;width:0;height:0";"Simtech"
"Салфетки мед. стер. марл. 16*14 №20 NF";"Медицинские расходные материалы///Марля, марлевые отрезы";"9.55";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba52";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfetki-med.-ster.-marl.-1614-20-nf";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfetki-med.-ster.-marl.-1614-20-nf.html";"";"";"length:0;width:0;height:0";"Simtech"
"Салфетки мед. стер. марл. 45*29 №5 NF";"Медицинские расходные материалы///Марля, марлевые отрезы";"11.50";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba53";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfetki-med.-ster.-marl.-4529-5-nf";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfetki-med.-ster.-marl.-4529-5-nf.html";"";"";"length:0;width:0;height:0";"Simtech"
"Салфетка спиртовая 3,0 х 6,5 см. для инъекций (изопропиловый спирт)";"Медицинские расходные материалы///Марля, марлевые отрезы";"0.40";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba54";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfetka-spirtovaya-3-0-h-6-5-sm.-dlya-inekciy-izopropilovyy-spirt";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfetka-spirtovaya-3-0-h-6-5-sm.-dlya-inekciy-izopropilovyy-spirt.html";"";"";"length:0;width:0;height:0";"Simtech"
"Салфетка спиртовая 5,6 х 6,5 см. для инъекций (изопропиловый спирт)";"Медицинские расходные материалы///Марля, марлевые отрезы";"0.67";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba55";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfetka-spirtovaya-5-6-h-6-5-sm.-dlya-inekciy-izopropilovyy-spirt";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfetka-spirtovaya-5-6-h-6-5-sm.-dlya-inekciy-izopropilovyy-spirt.html";"";"";"length:0;width:0;height:0";"Simtech"
"Салфетка спиртовая 6 х 10 см. для инъекций (изопропиловый спирт)";"Медицинские расходные материалы///Марля, марлевые отрезы";"0.83";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba56";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"salfetka-spirtovaya-6-h-10-sm.-dlya-inekciy-izopropilovyy-spirt";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/marlya-marlevye-otrezy/salfetka-spirtovaya-6-h-10-sm.-dlya-inekciy-izopropilovyy-spirt.html";"";"";"length:0;width:0;height:0";"Simtech"
