Product code;Language;Price;Lower limit;User group;Percentage discount
"proba66";"ru";"135.24";"1";"Все";"0"
"proba176";"ru";"3.01";"1";"Все";"0"
"proba175";"ru";"2.07";"1";"Все";"0"
"proba187";"ru";"4.67";"1";"Все";"0"
"proba16";"ru";"9.24";"114";"Все";"0"
"proba73";"ru";"45.25";"1";"Все";"0"
"proba48";"ru";"7.30";"1";"Все";"0"
"proba5";"ru";"4.32";"103";"Все";"0"
"proba4";"ru";"4.90";"102";"Все";"0"
"proba1";"ru";"1.87";"99";"Все";"0"
"proba2";"ru";"3.50";"100";"Все";"0"
"proba3";"ru";"4.32";"101";"Все";"0"
"proba57";"ru";"13.80";"1";"Все";"0"
"proba59";"ru";"59.51";"1";"Все";"0"
"proba58";"ru";"26.22";"1";"Все";"0"
"proba75";"ru";"9.75";"99";"Все";"0"
"proba59";"ru";"51.75";"99";"Все";"0"
"proba14";"ru";"4.90";"112";"Все";"0"
"proba13";"ru";"4.79";"111";"Все";"0"
"proba164";"ru";"4.57";"1";"Все";"0"
"proba15";"ru";"7.63";"113";"Все";"0"
"proba115";"ru";"34.50";"1";"Все";"0"
"proba78";"ru";"26.57";"1";"Все";"0"
"proba150";"ru";"2.21";"1";"Все";"0"
"proba45";"ru";"7.88";"1";"Все";"0"
"proba51";"ru";"3.96";"99";"Все";"0"
"proba52";"ru";"8.30";"99";"Все";"0"
"proba163";"ru";"3.45";"1";"Все";"0"
"proba98";"ru";"5.99";"1";"Все";"0"
"proba53";"ru";"10.00";"99";"Все";"0"
"proba81";"ru";"23.06";"1";"Все";"0"
"proba38";"ru";"18.07";"99";"Все";"0"
"proba89";"ru";"3.97";"1";"Все";"0"
"proba88";"ru";"2.93";"1";"Все";"0"
"proba171";"ru";"379.36";"1";"Все";"0"
"proba172";"ru";"575.87";"1";"Все";"0"
"proba170";"ru";"352.52";"1";"Все";"0"
"proba62";"ru";"6.90";"99";"Все";"0"
"proba42";"ru";"9.80";"1";"Все";"0"
"proba177";"ru";"4.33";"1";"Все";"0"
"proba128";"ru";"0.86";"1";"Все";"0"
"proba43";"ru";"11.73";"1";"Все";"0"
"proba148";"ru";"32.84";"1";"Все";"0"
"proba75";"ru";"11.21";"1";"Все";"0"
"proba182";"ru";"2.22";"1";"Все";"0"
"proba12";"ru";"3.98";"110";"Все";"0"
"proba179";"ru";"2.18";"1";"Все";"0"
"proba73";"ru";"39.35";"99";"Все";"0"
"proba11";"ru";"18.73";"109";"Все";"0"
"proba138";"ru";"15.41";"1";"Все";"0"
"proba67";"ru";"132.48";"1";"Все";"0"
"proba68";"ru";"6.61";"1";"Все";"0"
"proba180";"ru";"3.21";"1";"Все";"0"
"proba181";"ru";"4.59";"1";"Все";"0"
"proba72";"ru";"27.10";"99";"Все";"0"
"proba97";"ru";"12.71";"1";"Все";"0"
"proba54";"ru";"0.35";"99";"Все";"0"
"proba55";"ru";"0.58";"99";"Все";"0"
"proba155";"ru";"24.73";"1";"Все";"0"
"proba188";"ru";"0.72";"1";"Все";"0"
"proba166";"ru";"9.19";"1";"Все";"0"
"proba17";"ru";"10.14";"115";"Все";"0"
"proba174";"ru";"1.72";"1";"Все";"0"
"proba147";"ru";"14.84";"1";"Все";"0"
"proba130";"ru";"36.92";"1";"Все";"0"
"proba193";"ru";"0.00";"1";"Все";"0"
"proba194";"ru";"1.00";"1";"Все";"0"
"proba116";"ru";"27.60";"1";"Все";"0"
"proba190";"ru";"0.86";"1";"Все";"0"
"proba96";"ru";"7.30";"1";"Все";"0"
"proba95";"ru";"3.39";"1";"Все";"0"
"proba37";"ru";"14.64";"1";"Все";"0"
"proba70";"ru";"17.88";"1";"Все";"0"
"proba40";"ru";"55.20";"99";"Все";"0"
"proba129";"ru";"0.00";"1";"Все";"0"
"proba123";"ru";"1.96";"1";"Все";"0"
"proba124";"ru";"0.00";"1";"Все";"0"
"proba125";"ru";"21.85";"1";"Все";"0"
"proba79";"ru";"41.06";"1";"Все";"0"
"proba119";"ru";"0.00";"1";"Все";"0"
"proba43";"ru";"10.20";"99";"Все";"0"
"proba118";"ru";"0.00";"1";"Все";"0"
"proba58";"ru";"22.80";"99";"Все";"0"
"proba42";"ru";"8.52";"99";"Все";"0"
"proba41";"ru";"4.15";"99";"Все";"0"
"proba54";"ru";"0.40";"1";"Все";"0"
"proba52";"ru";"9.55";"1";"Все";"0"
"proba51";"ru";"4.55";"1";"Все";"0"
"proba53";"ru";"11.50";"1";"Все";"0"
"proba62";"ru";"7.94";"1";"Все";"0"
"proba60";"ru";"30.48";"1";"Все";"0"
"proba61";"ru";"5.23";"1";"Все";"0"
"proba117";"ru";"0.00";"1";"Все";"0"
"proba109";"ru";"9.49";"1";"Все";"0"
"proba126";"ru";"1.09";"1";"Все";"0"
"proba70";"ru";"15.55";"99";"Все";"0"
"proba69";"ru";"7.40";"99";"Все";"0"
"proba71";"ru";"35.70";"99";"Все";"0"
"proba173";"ru";"28.26";"1";"Все";"0"
"proba36";"ru";"1.87";"99";"Все";"0"
"proba154";"ru";"20.99";"1";"Все";"0"
"proba37";"ru";"12.73";"99";"Все";"0"
"proba156";"ru";"2.12";"1";"Все";"0"
"proba49";"ru";"7.65";"99";"Все";"0"
"proba48";"ru";"6.35";"99";"Все";"0"
"proba44";"ru";"5.40";"99";"Все";"0"
"proba45";"ru";"6.85";"99";"Все";"0"
"proba47";"ru";"8.90";"99";"Все";"0"
"proba46";"ru";"7.80";"99";"Все";"0"
"proba80";"ru";"15.35";"1";"Все";"0"
"proba50";"ru";"8.15";"99";"Все";"0"
"proba132";"ru";"33.35";"1";"Все";"0"
"proba1";"ru";"2.15";"1";"Все";"0"
"proba2";"ru";"4.03";"1";"Все";"0"
"proba3";"ru";"4.97";"1";"Все";"0"
"proba74";"ru";"10.10";"99";"Все";"0"
"proba77";"ru";"36.06";"99";"Все";"0"
"proba81";"ru";"20.05";"99";"Все";"0"
"proba78";"ru";"23.10";"99";"Все";"0"
"proba80";"ru";"13.35";"99";"Все";"0"
"proba4";"ru";"5.64";"1";"Все";"0"
"proba5";"ru";"4.97";"1";"Все";"0"
