Feature name;Feature ID;Language;Type;Group;Description;Categories;Show on the features tab;Show in product list;Show in product header;Position;Status;Store;Feature code;Variants;Prefix;Suffix;Comparsion
"Количество в коробке";"19";"ru";"O";"";"";"";"Y";"Y";"N";"0";"A";"Simtech";"boxqnt";"";"";"шт.";"N"
"Производитель";"18";"ru";"E";"";"";"";"N";"N";"Y";"0";"A";"Simtech";"";"Abbey Road Studios, Acer, Adidas, Aiko, Apple, Arc System Works, ASUS, Camelback, Capcom, Casio, Cleveland, Cobra, Concord Records, Creative, D-Link, Entertainment One Ltd, Garmin, GoPro, Hewlett-Packard, HTC, Intel, Kenwood, Koss, LG, Montblanc, Motorola, Namco, Namco Bandai Games, Nike, Nikon, Nokia, Panasonic, Pioneer, Quartet Manufacturing, Rhino, Roadrunner Records, Samsung, SanDisk, Sony, Swingline , Tissot, TomTom, Toshiba, TP-Link, Universal Music Group, Warner Bros., Warner Home Video , Wilson Jones, Wilson Staff, Yamaha, Фармстандарт";"";"";"N"
